Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2021-02-16;41,60;42,20;42,00;42,20;41,60;42,20;41,638;2120;88271,6;18;
2021-02-15;41,60;42,00;42,00;42,00;41,60;42,00;41,926;1290;54084,8;8;
2021-02-12;41,60;42,00;41,60;42,20;41,60;42,00;41,657;938;39074,2;11;
2021-02-11;41,60;42,00;41,60;42,00;41,60;42,00;41,949;221;9270,8;7;
2021-02-10;41,60;42,20;42,00;42,00;41,40;41,60;41,961;2502;104986;15;
2021-02-09;41,60;42,00;42,20;42,20;41,60;41,60;42,12;149;6275,8;4;
2021-02-08;41,60;42,20;42,20;42,20;41,60;42,20;41,675;2189;91226,8;20;
2021-02-05;41,00;42,20;41,80;41,80;41,80;41,80;41,80;10;418;1;
2021-02-04;41,00;41,40;42,20;42,20;41,00;41,80;41,242;1223;50438,6;10;
2021-02-03;41,00;42,20;42,20;42,20;42,20;42,20;42,20;4;168,8;2;
2021-02-02;41,00;42,00;42,00;42,00;42,00;42,00;42,00;173;7266;4;
2021-02-01;41,00;41,20;42,20;42,20;41,20;42,20;41,84;272;11380,4;9;
2021-01-29;41,80;42,00;41,00;42,00;41,00;41,80;41,439;200;8287,8;11;
2021-01-28;41,00;41,40;41,00;41,00;40,60;41,00;40,83;2353;96073,2;10;
2021-01-27;41,00;41,20;41,80;41,80;41,00;41,00;41,14;259;10655,2;14;
2021-01-26;41,00;41,20;41,20;41,20;41,00;41,00;41,069;184;7556,6;7;
2021-01-25;41,00;41,20;41,00;42,00;41,00;41,00;41,086;1407;57808;7;
2021-01-22;41,00;41,60;41,00;41,00;40,80;40,80;40,837;675;27564,8;3;
2021-01-21;41,00;41,40;40,80;42,60;40,80;40,80;41,445;1997;82764,6;13;
2021-01-20;40,80;41,00;40,80;40,80;40,80;40,80;40,80;215;8772;6;
2021-01-19;40,80;41,00;41,00;41,00;40,80;40,80;40,947;625;25592;11;
2021-01-18;40,80;41,00;41,00;41,00;40,20;40,80;40,533;778;31534,4;13;
2021-01-15;40,80;41,00;40,80;41,00;40,20;40,80;40,54;5849;237119,4;9;
2021-01-14;40,80;41,00;40,80;41,00;40,80;40,80;40,835;901;36792;11;
2021-01-13;40,80;41,00;40,80;40,80;40,80;40,80;40,80;1696;69196,8;12;
2021-01-12;40,80;41,00;40,20;41,20;40,20;40,80;40,608;2812;114190;20;
2021-01-11;39,60;39,80;39,60;40,00;39,00;40,00;39,618;272;10776,2;10;
2021-01-08;39,60;40,00;39,60;39,60;39,60;39,60;39,60;79;3128,4;5;
2021-01-07;40,00;40,20;40,00;40,20;39,60;40,20;39,923;713;28464,8;8;
